CS 128,Introduction to C++,3:00 PM–4:50 PM   TuTh,2017-01-03 to 2017-03-10,Nguyen, Thanh,
CS 128,Introduction to C++,9:15 AM–10:20 AM   MWF,2017-01-03 to 2017-03-10,Khakpour, Asha,
CS 128,Introduction to C++,3:00 PM–4:50 PM   TuTh,2017-01-03 to 2017-03-10,Nguyen, Thanh,
CS 128,Introduction to C++,9:15 AM–10:20 AM   MWF,2017-01-03 to 2017-03-10,Khakpour, Asha,
CS 130,Discrete Structures,10:30 AM–11:35 AM   MWF,2017-01-03 to 2017-03-10,Chen, Tingting,
CS 130,Discrete Structures,8:00 AM–9:50 AM   TuTh,2017-01-03 to 2017-03-10,Diaz, Tony,
CS 130,Discrete Structures,10:00 AM–11:50 AM   TuTh,2017-01-03 to 2017-03-10,Diaz, Tony,
CS 130,Discrete Structures,8:00 AM–9:05 AM   MWF,2017-01-03 to 2017-03-10,Khakpour, Asha,
CS 130,Discrete Structures,8:00 AM–9:05 AM   MWF,2017-01-03 to 2017-03-10,Zhao, Alan,
CS 130,Discrete Structures,10:30 AM–11:35 AM   MWF,2017-01-03 to 2017-03-10,Chen, Tingting,
CS 130,Discrete Structures,8:00 AM–9:50 AM   TuTh,2017-01-03 to 2017-03-10,Diaz, Tony,
CS 130,Discrete Structures,10:00 AM–11:50 AM   TuTh,2017-01-03 to 2017-03-10,Diaz, Tony,
CS 130,Discrete Structures,8:00 AM–9:05 AM   MWF,2017-01-03 to 2017-03-10,Khakpour, Asha,
CS 130,Discrete Structures,8:00 AM–9:05 AM   MWF,2017-01-03 to 2017-03-10,Zhao, Alan,
CS 140,Introduction to Computer Sci.,10:00 AM–11:50 AM   TuTh,2017-01-03 to 2017-03-10,Nguyen, Thanh,
CS 140,Introduction to Computer Sci.,8:00 AM–9:05 AM   MWF,2017-01-03 to 2017-03-10,Rodriguez, Edwin,
CS 140,Introduction to Computer Sci.,10:00 AM–11:50 AM   TuTh,2017-01-03 to 2017-03-10,Nguyen, Thanh,
CS 140,Introduction to Computer Sci.,8:00 AM–9:05 AM   MWF,2017-01-03 to 2017-03-10,Rodriguez, Edwin,
CS 141,Intro to Prog & Prob Solving,8:00 AM–9:05 AM   MWF,2017-01-03 to 2017-03-10,Diaz, Tony,
CS 141,Intro to Prog & Prob Solving,9:15 AM–10:20 AM   MWF,2017-01-03 to 2017-03-10,Rodriguez, Edwin,
CS 141,Intro to Prog & Prob Solving,5:00 PM–6:50 PM   TuTh,2017-01-03 to 2017-03-10,Nguyen, Thanh,
CS 141,Intro to Prog & Prob Solving,8:00 AM–9:05 AM   MWF,2017-01-03 to 2017-03-10,Diaz, Tony,
CS 141,Intro to Prog & Prob Solving,9:15 AM–10:20 AM   MWF,2017-01-03 to 2017-03-10,Rodriguez, Edwin,
CS 141,Intro to Prog & Prob Solving,5:00 PM–6:50 PM   TuTh,2017-01-03 to 2017-03-10,Nguyen, Thanh,
CS 210,Computer Logic,1:00 PM–2:50 PM   TuTh,2017-01-03 to 2017-03-10,Salloum, Salam,
CS 210,Computer Logic,4:00 PM–5:50 PM   MW,2017-01-03 to 2017-03-10,Atanasio, Dominick,
CS 210,Computer Logic,1:00 PM–2:50 PM   TuTh,2017-01-03 to 2017-03-10,Salloum, Salam,
CS 210,Computer Logic,4:00 PM–5:50 PM   MW,2017-01-03 to 2017-03-10,Atanasio, Dominick,
CS 240,Data Structures and Algorithms I,4:00 PM–5:50 PM   MW,2017-01-03 to 2017-03-10,Davarpanah, Nima,
CS 240,Data Structures and Algorithms I,4:00 PM–5:50 PM   MW,2017-01-03 to 2017-03-10,Davarpanah, Nima,
CS 241,Data Structures and Algorithms II,11:45 AM–12:50 PM   MWF,2017-01-03 to 2017-03-10,Ji, Hao,
CS 241,Data Structures and Algorithms II,8:00 AM–9:50 AM   TuTh,2017-01-03 to 2017-03-10,Afework, Joseph,
CS 241,Data Structures and Algorithms II,11:45 AM–12:50 PM   MWF,2017-01-03 to 2017-03-10,Ji, Hao,
CS 241,Data Structures and Algorithms II,8:00 AM–9:50 AM   TuTh,2017-01-03 to 2017-03-10,Afework, Joseph,
CS 245,Programming Graphical User Interfaces,4:00 PM–5:50 PM   MW,2017-01-03 to 2017-03-10,Diaz, Tony,
CS 245,Programming Graphical User Interfaces,4:00 PM–5:50 PM   MW,2017-01-03 to 2017-03-10,Diaz, Tony,
CS 256,C++ Programming,1:00 PM–2:50 PM   TuTh,2017-01-03 to 2017-03-10,McCune, Robert,
CS 256,C++ Programming,6:00 PM–7:50 PM   MW,2017-01-03 to 2017-03-10,Gershman, David,
CS 256,C++ Programming,1:00 PM–2:50 PM   TuTh,2017-01-03 to 2017-03-10,McCune, Robert,
CS 256,C++ Programming,6:00 PM–7:50 PM   MW,2017-01-03 to 2017-03-10,Gershman, David,
CS 260,Unix and Scripting,2:00 PM–3:50 PM   MW,2017-01-03 to 2017-03-10,Raheja, Amar,
CS 260,Unix and Scripting,2:00 PM–3:50 PM   MW,2017-01-03 to 2017-03-10,Raheja, Amar,
CS 264,Computer Organization and Assembly Programming,3:00 PM–4:50 PM   TuTh,2017-01-03 to 2017-03-10,Salloum, Salam,
CS 264,Computer Organization and Assembly Programming,6:00 PM–7:50 PM   MW,2017-01-03 to 2017-03-10,Davarpanah, Nima,
CS 264,Computer Organization and Assembly Programming,3:00 PM–4:50 PM   TuTh,2017-01-03 to 2017-03-10,Salloum, Salam,
CS 264,Computer Organization and Assembly Programming,6:00 PM–7:50 PM   MW,2017-01-03 to 2017-03-10,Davarpanah, Nima,
CS 299,Special Topics for Lower Division Students,8:00 AM–9:05 AM   MWF,2017-01-03 to 2017-03-10,Yang, Lan,
CS 299,Special Topics for Lower Division Students,8:00 AM–9:05 AM   MWF,2017-01-03 to 2017-03-10,Yang, Lan,
CS 301,Numerical Methods,10:00 AM–11:50 AM   TuTh,2017-01-03 to 2017-03-10,Raheja, Amar,
CS 301,Numerical Methods,10:00 AM–11:50 AM   TuTh,2017-01-03 to 2017-03-10,Raheja, Amar,
CS 311,Formal Language and Automata,9:15 AM–10:20 AM   MWF,2017-01-03 to 2017-03-10,Chen, Tingting,
CS 311,Formal Language and Automata,1:00 PM–2:50 PM   TuTh,2017-01-03 to 2017-03-10,Sang, Fuh,
CS 311,Formal Language and Automata,9:15 AM–10:20 AM   MWF,2017-01-03 to 2017-03-10,Chen, Tingting,
CS 311,Formal Language and Automata,1:00 PM–2:50 PM   TuTh,2017-01-03 to 2017-03-10,Sang, Fuh,
CS 331,Design and Analysis of Algorithms,2:00 PM–3:50 PM   MW,2017-01-03 to 2017-03-10,Salloum, Salam,
CS 331,Design and Analysis of Algorithms,5:00 PM–6:50 PM   TuTh,2017-01-03 to 2017-03-10,Perez, Gilberto,
CS 331,Design and Analysis of Algorithms,2:00 PM–3:50 PM   MW,2017-01-03 to 2017-03-10,Salloum, Salam,
CS 331,Design and Analysis of Algorithms,5:00 PM–6:50 PM   TuTh,2017-01-03 to 2017-03-10,Perez, Gilberto,
CS 365,Computer Architecture,10:30 AM–11:35 AM   MWF,2017-01-03 to 2017-03-10,Yang, Lan,
CS 365,Computer Architecture,5:00 PM–6:50 PM   TuTh,2017-01-03 to 2017-03-10,Davarpanah, Nima,
CS 365,Computer Architecture,10:30 AM–11:35 AM   MWF,2017-01-03 to 2017-03-10,Yang, Lan,
CS 365,Computer Architecture,5:00 PM–6:50 PM   TuTh,2017-01-03 to 2017-03-10,Davarpanah, Nima,
CS 375,Computers and Society,8:00 AM–9:50 AM   TuTh,2017-01-03 to 2017-03-10,Eller, Sander,
CS 375,Computers and Society,10:00 AM–11:50 AM   TuTh,2017-01-03 to 2017-03-10,Eller, Sander,
CS 375,Computers and Society,8:00 AM–9:50 AM   TuTh,2017-01-03 to 2017-03-10,Eller, Sander,
CS 375,Computers and Society,10:00 AM–11:50 AM   TuTh,2017-01-03 to 2017-03-10,Eller, Sander,
CS 380,Computer Networks,6:00 PM–7:50 PM   MW,2017-01-03 to 2017-03-10,Pantic, Nicholas,
CS 380,Computer Networks,6:00 PM–7:50 PM   MW,2017-01-03 to 2017-03-10,Pantic, Nicholas,
CS 400,Special Study for Upper Division Students,No time set.   TBA,2017-01-03 to 2017-03-10,Raheja, Amar,
CS 400,Special Study for Upper Division Students,No time set.   TBA,2017-01-03 to 2017-03-10,Sun, Yu,
CS 400,Special Study for Upper Division Students,No time set.   TBA,2017-01-03 to 2017-03-10,Sun, Yu,
CS 400,Special Study for Upper Division Students,No time set.   TBA,2017-01-03 to 2017-03-10,Raheja, Amar,
CS 400H,Special Study for Upper Division Students Honors,No time set.   TBA,2017-01-03 to 2017-03-10,Tang, Fang,
CS 400H,Special Study for Upper Division Students Honors,No time set.   TBA,2017-01-03 to 2017-03-10,Tang, Fang,
CS 408,Programming Languages,1:00 PM–2:50 PM   TuTh,2017-01-03 to 2017-03-10,Raheja, Amar,
CS 408,Programming Languages,11:45 AM–12:50 PM   MWF,2017-01-03 to 2017-03-10,Yang, Lan,
CS 408,Programming Languages,1:00 PM–2:50 PM   TuTh,2017-01-03 to 2017-03-10,Raheja, Amar,
CS 408,Programming Languages,11:45 AM–12:50 PM   MWF,2017-01-03 to 2017-03-10,Yang, Lan,
CS 411,Compilers and Interpreters,3:00 PM–4:50 PM   TuTh,2017-01-03 to 2017-03-10,Atanasio, Dominick,
CS 411,Compilers and Interpreters,3:00 PM–4:50 PM   TuTh,2017-01-03 to 2017-03-10,Atanasio, Dominick,
CS 420,Artificial Intelligence,10:00 AM–11:50 AM   TuTh,2017-01-03 to 2017-03-10,Tang, Fang,
CS 420,Artificial Intelligence,10:00 AM–11:50 AM   TuTh,2017-01-03 to 2017-03-10,Tang, Fang,
CS 431,Operating Systems,3:00 PM–4:50 PM   TuTh,2017-01-03 to 2017-03-10,Young, Gilbert,
CS 431,Operating Systems,4:00 PM–5:50 PM   MW,2017-01-03 to 2017-03-10,Pantic, Nicholas,
CS 431,Operating Systems,3:00 PM–4:50 PM   TuTh,2017-01-03 to 2017-03-10,Young, Gilbert,
CS 431,Operating Systems,4:00 PM–5:50 PM   MW,2017-01-03 to 2017-03-10,Pantic, Nicholas,
CS 435,Database Systems,10:30 AM–11:35 AM   MWF,2017-01-03 to 2017-03-10,Rodriguez, Edwin,
CS 435,Database Systems,10:30 AM–11:35 AM   MWF,2017-01-03 to 2017-03-10,Rodriguez, Edwin,
CS 460,Secure Communication,5:00 PM–6:50 PM   TuTh,2017-01-03 to 2017-03-10,Husain, Mohammad,
CS 460,Secure Communication,5:00 PM–6:50 PM   TuTh,2017-01-03 to 2017-03-10,Husain, Mohammad,
CS 461,Senior Project,No time set.   TBA,2017-01-03 to 2017-03-10,Sun, Yu,
CS 461,Senior Project,No time set.   TBA,2017-01-03 to 2017-03-10,Diaz, Tony,
CS 461,Senior Project,No time set.   TBA,2017-01-03 to 2017-03-10,Tang, Fang,
CS 461,Senior Project,No time set.   TBA,2017-01-03 to 2017-03-10,Tang, Fang,
CS 461,Senior Project,No time set.   TBA,2017-01-03 to 2017-03-10,Husain, Mohammad,
CS 461,Senior Project,No time set.   TBA,2017-01-03 to 2017-03-10,Sang, Fuh,
CS 461,Senior Project,No time set.   TBA,2017-01-03 to 2017-03-10,Pantic, Nicholas,
CS 461,Senior Project,No time set.   TBA,2017-01-03 to 2017-03-10,Tang, Fang,
CS 461,Senior Project,No time set.   TBA,2017-01-03 to 2017-03-10,Raheja, Amar,
CS 461,Senior Project,No time set.   TBA,2017-01-03 to 2017-03-10,Jayarathna, Ukwatta,
CS 461,Senior Project,No time set.   TBA,2017-01-03 to 2017-03-10,Sun, Yu,
CS 461,Senior Project,No time set.   TBA,2017-01-03 to 2017-03-10,Diaz, Tony,
CS 461,Senior Project,No time set.   TBA,2017-01-03 to 2017-03-10,Tang, Fang,
CS 461,Senior Project,No time set.   TBA,2017-01-03 to 2017-03-10,Tang, Fang,
CS 461,Senior Project,No time set.   TBA,2017-01-03 to 2017-03-10,Husain, Mohammad,
CS 462,Senior Project,No time set.   TBA,2017-01-03 to 2017-03-10,Sun, Yu,
CS 462,Senior Project,No time set.   TBA,2017-01-03 to 2017-03-10,Sang, Fuh,
CS 462,Senior Project,No time set.   TBA,2017-01-03 to 2017-03-10,Pantic, Nicholas,
CS 462,Senior Project,No time set.   TBA,2017-01-03 to 2017-03-10,Sun, Yu,
CS 463,Undergraduate Seminar,4:00 PM–5:50 PM   M,2017-01-03 to 2017-03-10,Jayarathna, Ukwatta,
CS 463,Undergraduate Seminar,1:00 PM–2:50 PM   Tu,2017-01-03 to 2017-03-10,Tang, Fang,
CS 463,Undergraduate Seminar,6:00 PM–7:50 PM   W,2017-01-03 to 2017-03-10,Sun, Yu,
CS 463,Undergraduate Seminar,7:00 PM–8:50 PM   Th,2017-01-03 to 2017-03-10,Young, Gilbert,
CS 463,Undergraduate Seminar,4:00 PM–5:50 PM   M,2017-01-03 to 2017-03-10,Jayarathna, Ukwatta,
CS 463,Undergraduate Seminar,1:00 PM–2:50 PM   Tu,2017-01-03 to 2017-03-10,Tang, Fang,
CS 463,Undergraduate Seminar,6:00 PM–7:50 PM   W,2017-01-03 to 2017-03-10,Sun, Yu,
CS 463,Undergraduate Seminar,7:00 PM–8:50 PM   Th,2017-01-03 to 2017-03-10,Young, Gilbert,
CS 480,Software Engineering,6:00 PM–7:50 PM   MW,2017-01-03 to 2017-03-10,Zaidi, Hussain,
CS 480,Software Engineering,7:00 PM–8:50 PM   TuTh,2017-01-03 to 2017-03-10,Zaidi, Hussain,
CS 480,Software Engineering,6:00 PM–7:50 PM   MW,2017-01-03 to 2017-03-10,Zaidi, Hussain,
CS 480,Software Engineering,7:00 PM–8:50 PM   TuTh,2017-01-03 to 2017-03-10,Zaidi, Hussain,
CS 499,Special Topics for Upper Division Students,2:00 PM–3:50 PM   MW,2017-01-03 to 2017-03-10,Sun, Yu,
CS 499,Special Topics for Upper Division Students,2:00 PM–3:50 PM   MW,2017-01-03 to 2017-03-10,Sun, Yu,
CS 499H,Special Topics for Upper Division Students Honors,No time set.   TBA,2017-01-03 to 2017-03-10,Tang, Fang,
CS 499H,Special Topics for Upper Division Students Honors,No time set.   TBA,2017-01-03 to 2017-03-10,Tang, Fang,
CS 521,Robotics,3:00 PM–4:50 PM   TuTh,2017-01-03 to 2017-03-10,Tang, Fang,
CS 521,Robotics,3:00 PM–4:50 PM   TuTh,2017-01-03 to 2017-03-10,Tang, Fang,
CS 565,Advanced Computer Networks,5:00 PM–6:50 PM   TuTh,2017-01-03 to 2017-03-10,Young, Gilbert,
CS 565,Advanced Computer Networks,5:00 PM–6:50 PM   TuTh,2017-01-03 to 2017-03-10,Young, Gilbert,
CS 580,Advanced Software Engineering,4:00 PM–5:50 PM   MW,2017-01-03 to 2017-03-10,Sun, Yu,
CS 580,Advanced Software Engineering,4:00 PM–5:50 PM   MW,2017-01-03 to 2017-03-10,Sun, Yu,
CS 599,Special Topics for Graduate Students,6:00 PM–7:50 PM   MW,2017-01-03 to 2017-03-10,Jayarathna, Ukwatta,
CS 599,Special Topics for Graduate Students,6:00 PM–7:50 PM   MW,2017-01-03 to 2017-03-10,Jayarathna, Ukwatta,
CS 664,Graduate Seminar,2:00 PM–3:50 PM   W,2017-01-03 to 2017-03-10,Chen, Tingting,
CS 664,Graduate Seminar,7:00 PM–8:50 PM   Tu,2017-01-03 to 2017-03-10,Young, Gilbert,
CS 664,Graduate Seminar,2:00 PM–3:50 PM   W,2017-01-03 to 2017-03-10,Chen, Tingting,
CS 664,Graduate Seminar,7:00 PM–8:50 PM   Tu,2017-01-03 to 2017-03-10,Young, Gilbert,
CS 691,Directed Study,No time set.   TBA,2017-01-03 to 2017-03-10,Raheja, Amar,
CS 691,Directed Study,No time set.   TBA,2017-01-03 to 2017-03-10,Young, Gilbert,
CS 691,Directed Study,No time set.   TBA,2017-01-03 to 2017-03-10,Raheja, Amar,
CS 691,Directed Study,No time set.   TBA,2017-01-03 to 2017-03-10,Raheja, Amar,
CS 691,Directed Study,No time set.   TBA,2017-01-03 to 2017-03-10,Raheja, Amar,
CS 691,Directed Study,No time set.   TBA,2017-01-03 to 2017-03-10,Young, Gilbert,
CS 691,Directed Study,No time set.   TBA,2017-01-03 to 2017-03-10,Tang, Fang,
CS 691,Directed Study,No time set.   TBA,2017-01-03 to 2017-03-10,Sun, Yu,
CS 691,Directed Study,No time set.   TBA,2017-01-03 to 2017-03-10,Raheja, Amar,
CS 691,Directed Study,No time set.   TBA,2017-01-03 to 2017-03-10,Young, Gilbert,
CS 691,Directed Study,No time set.   TBA,2017-01-03 to 2017-03-10,Raheja, Amar,
CS 695,Master's Degree Project,No time set.   TBA,2017-01-03 to 2017-03-10,Young, Gilbert Ji, Hao,
CS 695,Master's Degree Project,No time set.   TBA,2017-01-03 to 2017-03-10,Yang, Lan Chen, Tingting,
CS 695,Master's Degree Project,No time set.   TBA,2017-01-03 to 2017-03-10,Husain, Mohammad Chen, Tingting Sun, Yu,
CS 695,Master's Degree Project,No time set.   TBA,2017-01-03 to 2017-03-10,Young, Gilbert Ji, Hao,
CS 695,Master's Degree Project,No time set.   TBA,2017-01-03 to 2017-03-10,Sun, Yu Husain, Mohammad,
CS 695,Master's Degree Project,No time set.   TBA,2017-01-03 to 2017-03-10,Young, Gilbert Ji, Hao,
CS 695,Master's Degree Project,No time set.   TBA,2017-01-03 to 2017-03-10,Yang, Lan Chen, Tingting,
CS 695,Master's Degree Project,No time set.   TBA,2017-01-03 to 2017-03-10,Husain, Mohammad Chen, Tingting Sun, Yu,
CS 695,Master's Degree Project,No time set.   TBA,2017-01-03 to 2017-03-10,Young, Gilbert Ji, Hao,
CS 696,Master's Degree Thesis,No time set.   TBA,2017-01-03 to 2017-03-10,Raheja, Amar Pernalete, Norali Tang, Fang,
CS 696,Master's Degree Thesis,No time set.   TBA,2017-01-03 to 2017-03-10,Sun, Yu Husain, Mohammad Young, Gilbert,
CS 696,Master's Degree Thesis,No time set.   TBA,2017-01-03 to 2017-03-10,Husain, Mohammad Chen, Tingting Sun, Yu,
CS 696,Master's Degree Thesis,No time set.   TBA,2017-01-03 to 2017-03-10,Young, Gilbert Ji, Hao Sun, Yu,
CS 699,Master's Degree Continuation,No time set.   TBA,2017-01-03 to 2017-03-10,Sun, Yu,
